Timestamp,Reference X,Reference Y,Reference Theta,Current X,Current Y,Current Theta,Linear Velocity,Angular Velocity,Current Motor1,Current Motor2,Voltage Motor1,Voltage Motor2,Energy Usage
0.0,2.0,0.0,0.0,0.017,-0.039,-1.561,0.005,-0.104,0.382,0.108,0.096,-0.005,0.089
0.1,2.0,0.0,0.0,0.018,-0.039,-1.562,0.155,1.2,0.58,0.143,0.116,-0.077,0.278
0.2,2.0,0.0,0.0,0.018,-0.042,-1.56,0.23,1.2,0.822,2.657,-0.19,0.39,3.141
0.3,2.0,0.0,0.0,0.014,-0.045,-1.557,0.305,1.2,0.683,2.043,-0.131,0.378,5.21
0.4,2.0,0.0,0.0,0.018,-0.073,-1.501,0.455,1.2,0.754,2.438,-0.002,0.461,7.908
0.5,2.0,0.0,0.0,0.041,-0.09,-1.398,0.53,1.2,0.734,1.867,0.019,0.473,10.063
0.6,2.0,0.0,0.0,0.056,-0.13,-1.196,0.6,1.2,0.618,2.396,0.066,0.545,13.295
0.7,2.0,0.0,0.0,0.071,-0.144,-1.196,0.6,1.2,0.659,2.317,0.055,0.551,16.444
0.8,2.0,0.0,0.0,0.098,-0.22,-0.99,0.6,1.2,0.605,2.65,0.062,0.567,20.143
0.9,2.0,0.0,0.0,0.128,-0.276,-0.884,0.6,1.2,0.521,1.311,0.07,0.542,21.936
1.0,2.0,0.0,0.0,0.182,-0.35,-0.672,0.6,1.2,0.707,2.673,0.087,0.568,25.73
1.1,2.0,0.0,0.0,0.204,-0.381,-0.672,0.6,1.2,0.707,2.311,0.07,0.579,29.062
1.2,2.0,0.0,0.0,0.277,-0.434,-0.454,0.6,1.2,0.564,1.183,0.073,0.534,30.676
1.3,2.0,0.0,0.0,0.326,-0.459,-0.342,0.6,1.2,0.607,2.601,0.042,0.581,34.366
1.4,2.0,0.0,0.0,0.398,-0.492,-0.229,0.6,1.2,0.514,1.817,0.069,0.534,36.779
1.5,2.0,0.0,0.0,0.451,-0.505,-0.12,0.6,1.2,0.836,2.195,0.057,0.552,39.802
1.6,2.0,0.0,0.0,0.517,-0.511,-0.015,0.6,1.147,0.591,1.858,0.079,0.557,42.397
1.7,2.0,0.0,0.0,0.571,-0.508,0.089,0.6,0.532,0.624,2.219,0.083,0.553,45.469
1.8,2.0,0.0,0.0,0.626,-0.497,0.193,0.6,-0.029,0.591,2.604,0.278,0.51,49.05
