Timestamp,Reference X,Reference Y,Reference Theta,Current X,Current Y,Current Theta,Linear Velocity,Angular Velocity,Current Motor1,Current Motor2,Voltage Motor1,Voltage Motor2,Energy Usage
0.0,2.0,0.0,0.0,0.0,-0.026,-1.56,0.005,-0.11,0.488,0.148,0.09,-0.099,0.141
0.1,2.0,0.0,0.0,0.002,-0.024,-1.562,0.08,1.09,0.385,0.105,-0.074,0.109,0.236
0.2,2.0,0.0,0.0,0.002,-0.023,-1.569,0.23,1.2,0.743,3.642,-0.083,0.436,4.195
0.3,2.0,0.0,0.0,-0.005,-0.033,-1.553,0.38,1.2,0.65,1.982,0.022,0.449,6.363
0.4,2.0,0.0,0.0,0.003,-0.046,-1.365,0.53,1.2,0.694,2.398,0.036,0.501,9.304
0.5,2.0,0.0,0.0,0.02,-0.071,-1.264,0.6,1.2,0.961,2.716,0.17,0.577,13.459
0.6,2.0,0.0,0.0,0.041,-0.105,-1.159,0.6,1.2,0.534,2.451,0.073,0.569,16.897
0.7,2.0,0.0,0.0,0.061,-0.143,-1.056,0.6,1.2,0.573,2.514,0.06,0.566,20.393
0.8,2.0,0.0,0.0,0.111,-0.234,-0.842,0.6,1.2,0.514,2.266,0.077,0.57,23.59
0.9,2.0,0.0,0.0,0.13,-0.259,-0.842,0.6,1.2,0.738,2.496,0.074,0.579,27.19
1.0,2.0,0.0,0.0,0.21,-0.353,-0.621,0.6,1.2,0.467,2.023,0.062,0.567,30.015
1.1,2.0,0.0,0.0,0.239,-0.378,-0.51,0.6,1.2,0.659,1.231,0.07,0.544,31.733
1.2,2.0,0.0,0.0,0.3,-0.425,-0.398,0.6,1.2,0.775,1.955,0.068,0.562,34.497
1.3,2.0,0.0,0.0,0.374,-0.45,-0.178,0.6,1.2,0.757,2.472,0.064,0.561,37.942
1.4,2.0,0.0,0.0,0.44,-0.466,-0.075,0.6,1.2,0.63,2.193,0.063,0.578,41.079
1.5,2.0,0.0,0.0,0.511,-0.475,0.028,0.6,0.756,0.67,1.932,0.07,0.549,43.737
1.6,2.0,0.0,0.0,0.572,-0.478,0.13,0.6,0.141,0.561,1.32,0.24,0.463,45.527
1.7,2.0,0.0,0.0,0.665,-0.443,0.327,0.6,-0.27,0.75,1.987,0.273,0.455,48.191
1.8,2.0,0.0,0.0,0.719,-0.415,0.359,0.6,-0.148,0.467,2.032,0.273,0.401,50.453
1.9,2.0,0.0,0.0,0.759,-0.393,0.343,0.6,-0.354,0.763,0.125,0.351,0.288,51.183
2.0,2.0,0.0,0.0,0.801,-0.382,0.338,0.6,-0.124,1.255,0.1,0.434,0.224,52.543
2.1,2.0,0.0,0.0,0.88,-0.358,0.315,0.6,0.011,0.605,0.115,0.345,0.292,53.125
2.2,2.0,0.0,0.0,0.927,-0.347,0.298,0.6,-0.027,0.747,0.272,0.341,0.317,53.944
2.3,2.0,0.0,0.0,0.994,-0.323,0.301,0.6,0.047,1.01,0.276,0.346,0.356,55.019
2.4,2.0,0.0,0.0,1.046,-0.306,0.3,0.6,0.042,0.559,0.375,0.294,0.366,55.743
2.5,2.0,0.0,0.0,1.12,-0.284,0.301,0.6,0.058,0.639,0.215,0.293,0.34,56.367
2.6,2.0,0.0,0.0,1.191,-0.255,0.303,0.6,-0.063,0.523,1.015,0.311,0.384,57.693
