Timestamp,Reference X,Reference Y,Reference Theta,Current X,Current Y,Current Theta,Linear Velocity,Angular Velocity,Current Motor1,Current Motor2,Voltage Motor1,Voltage Motor2,Energy Usage
0.0,2.0,0.0,0.0,0.005,-0.049,-1.561,0.0,-0.085,0.366,0.1,0.099,-0.007,0.089
0.1,2.0,0.0,0.0,0.003,-0.05,-1.561,0.038,1.115,0.43,0.147,0.106,-0.077,0.225
0.2,2.0,0.0,0.0,0.004,-0.049,-1.564,0.15,1.2,1.183,1.837,-0.259,0.31,2.326
0.3,2.0,0.0,0.0,-0.003,-0.058,-1.529,0.225,1.2,0.844,2.378,-0.144,0.357,4.655
0.4,2.0,0.0,0.0,0.001,-0.054,-1.422,0.3,1.2,1.046,3.648,-0.149,0.424,8.739
0.5,2.0,0.0,0.0,0.014,-0.06,-1.32,0.375,1.2,0.741,2.034,-0.129,0.447,11.15
0.6,2.0,0.0,0.0,0.027,-0.083,-1.121,0.412,1.2,0.858,2.601,-0.047,0.476,14.221
0.7,2.0,0.0,0.0,0.041,-0.102,-1.02,0.487,1.2,1.024,3.694,0.08,0.562,19.402
0.8,2.0,0.0,0.0,0.057,-0.13,-0.918,0.525,1.2,0.657,3.049,0.04,0.537,23.395
0.9,2.0,0.0,0.0,0.085,-0.162,-0.814,0.562,1.2,0.618,1.327,0.018,0.503,25.022
1.0,2.0,0.0,0.0,0.111,-0.184,-0.712,0.6,1.2,0.798,3.567,0.128,0.617,30.552
1.1,2.0,0.0,0.0,0.155,-0.226,-0.608,0.6,1.2,0.806,2.25,0.063,0.578,33.797
1.2,2.0,0.0,0.0,0.206,-0.261,-0.504,0.6,1.2,0.757,2.2,0.031,0.569,36.859
1.3,2.0,0.0,0.0,0.292,-0.298,-0.288,0.6,1.2,0.711,1.797,0.058,0.548,39.321
1.4,2.0,0.0,0.0,0.315,-0.31,-0.288,0.6,1.2,0.974,2.965,0.061,0.588,43.648
1.5,2.0,0.0,0.0,0.388,-0.338,-0.07,0.6,1.2,0.451,3.3,0.054,0.573,48.248
1.6,2.0,0.0,0.0,0.485,-0.355,0.036,0.6,0.15,0.423,1.586,0.164,0.478,50.233
1.7,2.0,0.0,0.0,0.545,-0.349,0.139,0.6,0.358,0.743,1.513,0.301,0.418,52.287
1.8,2.0,0.0,0.0,0.627,-0.324,0.23,0.6,-0.107,0.395,2.61,0.223,0.475,55.473
1.9,2.0,0.0,0.0,0.67,-0.315,0.248,0.6,-0.268,0.611,0.232,0.32,0.338,56.131
2.0,2.0,0.0,0.0,0.742,-0.296,0.255,0.6,-0.076,2.338,0.667,0.443,0.34,59.159
2.1,2.0,0.0,0.0,0.782,-0.287,0.243,0.6,-0.07,1.163,0.248,0.355,0.296,60.328
2.2,2.0,0.0,0.0,0.833,-0.276,0.235,0.6,-0.036,1.044,0.106,0.376,0.292,61.345
2.3,2.0,0.0,0.0,0.871,-0.259,0.232,0.6,0.004,1.192,0.32,0.366,0.338,62.651
2.4,2.0,0.0,0.0,0.969,-0.23,0.228,0.6,-0.045,0.947,0.214,0.367,0.306,63.641
2.5,2.0,0.0,0.0,1.041,-0.211,0.23,0.6,-0.041,2.03,0.389,0.413,0.36,65.989
