Timestamp,Reference X,Reference Y,Reference Theta,Current X,Current Y,Current Theta,Linear Velocity,Angular Velocity,Current Motor1,Current Motor2,Voltage Motor1,Voltage Motor2,Energy Usage
0.0,2.0,0.0,0.0,0.019,-0.051,-1.569,0.0,-0.037,0.335,0.127,0.098,-0.012,0.082
0.1,2.0,0.0,0.0,0.02,-0.052,-1.568,0.019,1.163,0.478,0.106,0.124,-0.07,0.242
0.2,2.0,0.0,0.0,0.02,-0.052,-1.568,0.037,1.2,0.403,0.106,0.108,-0.071,0.364
0.3,2.0,0.0,0.0,0.02,-0.055,-1.57,0.075,1.2,0.831,0.949,-0.244,0.302,1.54
0.4,2.0,0.0,0.0,0.043,-0.041,-1.527,0.094,1.2,0.87,0.893,-0.235,0.321,2.718
0.5,2.0,0.0,0.0,0.047,-0.043,-1.429,0.131,1.2,0.89,1.296,-0.232,0.316,4.197
0.6,2.0,0.0,0.0,0.051,-0.047,-1.231,0.15,1.2,1.071,2.234,-0.21,0.341,6.562
0.7,2.0,0.0,0.0,0.05,-0.052,-1.133,0.187,1.2,0.693,0.881,-0.182,0.354,7.614
0.8,2.0,0.0,0.0,0.053,-0.055,-1.133,0.206,1.2,0.778,2.438,-0.169,0.404,10.296
0.9,2.0,0.0,0.0,0.06,-0.075,-0.936,0.244,1.2,0.896,2.343,-0.164,0.385,12.811
1.0,2.0,0.0,0.0,0.07,-0.086,-0.836,0.281,1.2,0.773,2.528,-0.145,0.439,15.745
1.1,2.0,0.0,0.0,0.094,-0.107,-0.638,0.319,1.2,0.713,1.516,-0.127,0.425,17.508
1.2,2.0,0.0,0.0,0.112,-0.12,-0.538,0.337,1.2,0.662,1.795,-0.078,0.44,19.528
1.3,2.0,0.0,0.0,0.137,-0.138,-0.438,0.375,1.2,0.596,2.074,-0.064,0.465,21.933
1.4,2.0,0.0,0.0,0.168,-0.148,-0.335,0.394,1.2,0.482,2.696,-0.054,0.467,25.015
1.5,2.0,0.0,0.0,0.205,-0.16,-0.231,0.431,0.805,0.696,2.474,-0.045,0.469,27.877
1.6,2.0,0.0,0.0,0.238,-0.162,-0.126,0.45,0.809,0.421,2.022,0.018,0.431,29.986
1.7,2.0,0.0,0.0,0.273,-0.169,-0.022,0.487,0.018,0.532,1.06,0.214,0.383,31.232
1.8,2.0,0.0,0.0,0.308,-0.179,0.055,0.506,-0.184,0.578,0.657,0.27,0.336,32.137
1.9,2.0,0.0,0.0,0.346,-0.176,0.122,0.544,-0.149,0.793,0.17,0.337,0.279,32.893
2.0,2.0,0.0,0.0,0.457,-0.182,0.144,0.581,-0.142,1.121,0.245,0.376,0.302,34.083
2.1,2.0,0.0,0.0,0.504,-0.183,0.133,0.6,-0.074,1.348,0.165,0.409,0.293,35.522
2.2,2.0,0.0,0.0,0.59,-0.173,0.127,0.6,-0.0,1.178,0.247,0.36,0.331,36.735
2.3,2.0,0.0,0.0,0.643,-0.159,0.123,0.6,-0.047,0.72,0.216,0.372,0.325,37.546
2.4,2.0,0.0,0.0,0.719,-0.143,0.127,0.6,-0.071,0.628,0.235,0.369,0.334,38.29
2.5,2.0,0.0,0.0,0.771,-0.135,0.124,0.6,-0.072,1.658,0.313,0.415,0.325,40.184
2.6,2.0,0.0,0.0,0.84,-0.123,0.121,0.6,-0.052,0.764,0.222,0.365,0.314,41.021
2.7,2.0,0.0,0.0,0.897,-0.115,0.116,0.6,-0.072,2.05,0.528,0.403,0.32,43.41
2.8,2.0,0.0,0.0,0.963,-0.103,0.112,0.6,-0.037,0.949,0.211,0.37,0.319,44.414
2.9,2.0,0.0,0.0,1.03,-0.1,0.108,0.6,-0.015,1.034,0.247,0.373,0.349,45.548
3.0,2.0,0.0,0.0,1.108,-0.086,0.103,0.6,-0.019,0.969,0.34,0.366,0.366,46.696
3.1,2.0,0.0,0.0,1.167,-0.077,0.102,0.6,-0.059,0.749,0.258,0.36,0.341,47.555
3.2,2.0,0.0,0.0,1.233,-0.072,0.102,0.6,-0.068,0.73,0.247,0.369,0.325,48.395
3.3,2.0,0.0,0.0,1.291,-0.067,0.103,0.6,-0.035,0.931,0.218,0.378,0.33,49.414
3.4,2.0,0.0,0.0,1.378,-0.063,0.101,0.6,-0.035,0.897,0.26,0.381,0.35,50.451
3.5,2.0,0.0,0.0,1.427,-0.061,0.094,0.6,0.017,1.151,0.22,0.363,0.312,51.618
3.6,2.0,0.0,0.0,1.476,-0.052,0.093,0.6,0.046,0.852,0.285,0.357,0.351,52.588
3.7,2.0,0.0,0.0,1.552,-0.046,0.09,0.6,0.04,0.607,0.295,0.34,0.332,53.318
3.8,2.0,0.0,0.0,1.613,-0.041,0.092,0.6,0.029,0.63,0.483,0.334,0.356,54.235
3.9,2.0,0.0,0.0,1.662,-0.035,0.093,0.6,0.01,0.596,0.679,0.341,0.365,55.318
4.0,2.0,0.0,0.0,1.735,-0.023,0.101,0.6,-0.01,0.616,0.331,0.327,0.354,56.083
4.1,2.0,0.0,0.0,1.813,-0.015,0.104,0.562,-0.045,0.476,0.113,0.292,0.245,56.482
4.2,2.0,0.0,0.0,1.87,-0.008,0.106,0.525,-0.031,0.611,0.249,0.306,0.308,57.114
4.3,2.0,2.0,0.0,1.951,-0.002,0.107,0.525,1.16,0.886,0.193,0.311,0.266,57.898
4.4,2.0,2.0,0.0,1.982,0.0,0.107,0.544,1.2,0.403,0.424,0.15,0.365,58.415
4.5,2.0,2.0,0.0,2.042,-0.0,0.103,0.581,1.2,0.875,1.95,0.069,0.543,61.101
4.6,2.0,2.0,0.0,2.148,0.004,0.181,0.6,1.2,0.612,2.699,0.085,0.589,65.043
4.7,2.0,2.0,0.0,2.214,0.024,0.283,0.6,1.2,0.754,2.347,0.034,0.565,68.286
4.8,2.0,2.0,0.0,2.258,0.045,0.385,0.6,1.2,0.727,1.624,0.091,0.535,70.531
4.9,2.0,2.0,0.0,2.327,0.09,0.604,0.6,1.2,0.655,2.03,0.058,0.555,73.327
5.0,2.0,2.0,0.0,2.348,0.099,0.604,0.6,1.2,0.838,2.175,0.084,0.575,76.496
5.1,2.0,2.0,0.0,2.41,0.16,0.82,0.6,1.2,0.576,1.98,0.058,0.57,79.283
5.2,2.0,2.0,0.0,2.47,0.224,0.929,0.6,1.2,0.79,2.338,0.09,0.575,82.679
