Cycle,Average Time,Average Energy Usage
1,15.55,0.3039362
2,15.38,0.3039936
3,15.15,0.2915862
4,14.669999999999998,0.2812625
5,14.66,0.27978669999999994
6,14.910000000000002,0.2687515
7,15.59,0.2660779
