Timestamp,Reference X,Reference Y,Reference Theta,Current X,Current Y,Current Theta,Linear Velocity,Angular Velocity,Current Motor1,Current Motor2,Voltage Motor1,Voltage Motor2,Energy Usage
0.0,2.0,0.0,0.0,0.013,-0.043,-1.553,-0.0,-0.185,0.392,0.097,0.088,0.008,0.084
0.1,2.0,0.0,0.0,0.016,-0.045,-1.553,0.3,1.2,0.553,0.14,0.125,-0.093,0.281
0.2,2.0,0.0,0.0,0.01,-0.048,-1.561,0.3,1.2,0.785,4.025,0.012,0.379,3.968
0.3,2.0,0.0,0.0,0.02,-0.041,-1.555,0.6,1.2,0.877,3.828,0.176,0.527,9.179
0.4,2.0,0.0,0.0,0.039,-0.041,-1.484,0.6,1.2,0.811,3.04,0.19,0.561,13.64
0.5,2.0,0.0,0.0,0.063,-0.07,-1.388,0.6,1.2,0.508,2.186,0.039,0.535,16.493
0.6,2.0,0.0,0.0,0.075,-0.117,-1.291,0.6,1.2,0.754,1.93,0.048,0.544,19.098
0.7,2.0,0.0,0.0,0.095,-0.193,-1.085,0.6,1.2,0.551,1.937,0.068,0.536,21.68
0.8,2.0,0.0,0.0,0.112,-0.22,-1.085,0.6,1.2,0.727,1.701,0.061,0.521,23.911
0.9,2.0,0.0,0.0,0.136,-0.271,-0.981,0.6,1.2,0.493,2.346,0.093,0.567,27.212
1.0,2.0,0.0,0.0,0.183,-0.346,-0.762,0.6,1.2,0.603,2.12,0.067,0.568,30.199
1.1,2.0,0.0,0.0,0.225,-0.408,-0.653,0.6,1.2,0.462,1.785,0.074,0.558,32.673
1.2,2.0,0.0,0.0,0.286,-0.446,-0.435,0.6,1.2,0.532,2.728,0.041,0.561,36.399
1.3,2.0,0.0,0.0,0.334,-0.472,-0.327,0.6,1.2,0.46,3.017,0.073,0.575,40.644
1.4,2.0,0.0,0.0,0.356,-0.487,-0.327,0.6,1.2,0.559,1.948,0.067,0.553,43.319
1.5,2.0,0.0,0.0,0.432,-0.512,-0.219,0.6,1.2,0.752,2.749,0.064,0.578,47.25
1.6,2.0,0.0,0.0,0.505,-0.52,-0.002,0.6,1.2,0.673,1.817,0.053,0.563,49.791
1.7,2.0,0.0,0.0,0.567,-0.52,0.107,0.6,1.136,0.691,2.856,0.086,0.573,53.859
1.8,2.0,0.0,0.0,0.605,-0.517,0.214,0.6,0.513,0.738,2.831,0.078,0.577,57.915
1.9,2.0,0.0,0.0,0.688,-0.509,0.318,0.6,-0.211,0.372,0.638,0.254,0.338,58.66
2.0,2.0,0.0,0.0,0.736,-0.5,0.398,0.6,-0.252,0.693,0.24,0.331,0.316,59.392
2.1,2.0,0.0,0.0,0.78,-0.492,0.431,0.6,-0.224,1.764,0.281,0.429,0.281,61.397
