Timestamp,Reference X,Reference Y,Reference Theta,Current X,Current Y,Current Theta,Linear Velocity,Angular Velocity,Current Motor1,Current Motor2,Voltage Motor1,Voltage Motor2,Energy Usage
0.0,2.0,0.0,0.0,0.018,-0.058,-1.563,0.0,-0.082,0.617,0.113,0.131,-0.1,0.221
0.1,2.0,0.0,0.0,0.021,-0.06,-1.562,0.075,1.2,0.833,0.555,-0.23,0.248,1.01
0.2,2.0,0.0,0.0,0.03,-0.067,-1.556,0.15,1.2,0.983,3.751,-0.203,0.351,4.65
0.3,2.0,0.0,0.0,0.042,-0.065,-1.475,0.225,1.2,0.704,0.94,-0.17,0.346,5.718
0.4,2.0,0.0,0.0,0.055,-0.073,-1.377,0.262,1.2,0.877,3.305,-0.117,0.466,9.662
0.5,2.0,0.0,0.0,0.066,-0.082,-1.282,0.337,1.2,0.815,2.87,-0.121,0.451,13.003
0.6,2.0,0.0,0.0,0.077,-0.095,-1.183,0.375,1.2,0.587,2.904,-0.052,0.468,16.34
0.7,2.0,0.0,0.0,0.088,-0.115,-1.085,0.487,1.2,0.553,1.8,0.05,0.483,18.493
0.8,2.0,0.0,0.0,0.115,-0.153,-0.883,0.525,1.2,0.648,2.104,0.005,0.483,20.94
0.9,2.0,0.0,0.0,0.14,-0.175,-0.779,0.562,1.2,0.641,2.941,0.06,0.566,25.031
1.0,2.0,0.0,0.0,0.181,-0.211,-0.674,0.6,1.2,0.557,2.598,0.068,0.58,28.735
1.1,2.0,0.0,0.0,0.229,-0.245,-0.57,0.6,1.2,0.361,2.955,0.065,0.572,32.849
1.2,2.0,0.0,0.0,0.263,-0.269,-0.466,0.6,1.2,0.935,2.648,0.064,0.591,36.745
1.3,2.0,0.0,0.0,0.354,-0.312,-0.252,0.6,1.2,0.621,2.877,0.06,0.584,40.866
1.4,2.0,0.0,0.0,0.409,-0.328,-0.144,0.6,1.2,0.557,2.016,0.059,0.548,43.595
1.5,2.0,0.0,0.0,0.478,-0.336,-0.038,0.6,0.553,0.471,1.993,0.062,0.558,46.334
1.6,2.0,0.0,0.0,0.563,-0.333,0.173,0.6,-0.024,0.616,2.672,0.146,0.518,49.872
1.7,2.0,0.0,0.0,0.602,-0.333,0.256,0.6,-0.229,0.759,0.319,0.35,0.362,50.787
1.8,2.0,0.0,0.0,0.638,-0.323,0.305,0.6,-0.575,1.884,0.253,0.41,0.275,52.808
1.9,2.0,0.0,0.0,0.696,-0.314,0.318,0.6,-0.308,2.03,0.174,0.466,0.166,55.147
2.0,2.0,0.0,0.0,0.741,-0.3,0.292,0.6,-0.204,2.079,0.195,0.423,0.214,57.356
2.1,2.0,0.0,0.0,0.824,-0.29,0.25,0.6,-0.101,0.954,0.158,0.387,0.321,58.364
2.2,2.0,0.0,0.0,0.902,-0.255,0.227,0.6,0.029,1.789,0.204,0.402,0.286,60.228
2.3,2.0,0.0,0.0,0.965,-0.24,0.223,0.6,0.002,0.632,0.303,0.327,0.346,60.976
2.4,2.0,0.0,0.0,1.033,-0.224,0.226,0.6,0.034,0.942,0.476,0.362,0.358,62.204
2.5,2.0,0.0,0.0,1.085,-0.211,0.228,0.6,-0.01,0.686,0.669,0.353,0.364,63.37
2.6,2.0,0.0,0.0,1.138,-0.198,0.229,0.6,-0.035,0.596,0.394,0.341,0.342,64.18
2.7,2.0,0.0,0.0,1.203,-0.183,0.233,0.6,-0.019,0.863,0.276,0.391,0.364,65.231
2.8,2.0,0.0,0.0,1.281,-0.164,0.231,0.6,-0.05,0.648,0.387,0.357,0.359,66.12
2.9,2.0,0.0,0.0,1.325,-0.156,0.231,0.6,-0.025,0.795,0.215,0.369,0.328,66.992
3.0,2.0,0.0,0.0,1.391,-0.134,0.228,0.6,-0.025,0.752,0.202,0.35,0.314,67.776
3.1,2.0,0.0,0.0,1.455,-0.117,0.225,0.6,-0.057,0.933,0.208,0.364,0.326,68.754
3.2,2.0,0.0,0.0,1.518,-0.105,0.226,0.6,-0.047,1.375,0.303,0.402,0.336,70.326
3.3,2.0,0.0,0.0,1.586,-0.088,0.223,0.6,-0.024,1.097,0.383,0.398,0.332,71.681
3.4,2.0,0.0,0.0,1.652,-0.07,0.221,0.6,-0.042,0.648,0.258,0.326,0.335,72.395
3.5,2.0,0.0,0.0,1.714,-0.053,0.22,0.6,-0.057,0.618,0.154,0.336,0.284,72.999
3.6,2.0,0.0,0.0,1.773,-0.041,0.22,0.563,-0.045,0.888,0.243,0.381,0.3,73.986
3.7,2.0,0.0,0.0,1.827,-0.03,0.217,0.525,-0.044,0.598,0.127,0.327,0.284,74.542
3.8,2.0,0.0,0.0,1.902,-0.012,0.212,0.413,-0.041,0.52,0.1,0.261,0.221,74.921
3.9,2.0,2.0,0.0,1.949,-0.002,0.211,0.45,1.159,0.554,0.116,0.247,0.203,75.306
4.0,2.0,2.0,0.0,2.003,0.011,0.207,0.525,1.2,0.936,2.995,0.034,0.548,79.319
4.1,2.0,2.0,0.0,2.051,0.008,0.219,0.563,1.2,0.686,2.254,0.063,0.538,82.335
4.2,2.0,2.0,0.0,2.098,0.012,0.296,0.563,1.2,0.546,2.657,0.036,0.581,86.091
4.3,2.0,2.0,0.0,2.141,0.022,0.4,0.6,1.2,0.489,2.295,0.071,0.581,89.377
4.4,2.0,2.0,0.0,2.222,0.04,0.508,0.6,1.2,0.877,3.269,0.078,0.599,94.24
4.5,2.0,2.0,0.0,2.283,0.081,0.722,0.6,1.2,0.723,1.658,0.045,0.57,96.586
4.6,2.0,2.0,0.0,2.326,0.102,0.722,0.6,1.2,0.551,2.011,0.088,0.555,99.38
4.7,2.0,2.0,0.0,2.369,0.159,0.94,0.6,1.2,0.695,2.302,0.032,0.575,102.608
4.8,2.0,2.0,0.0,2.402,0.184,0.94,0.6,1.2,0.768,2.173,0.06,0.575,105.715
4.9,2.0,2.0,0.0,2.444,0.271,1.161,0.6,1.2,0.6,1.676,0.057,0.575,108.108
5.0,2.0,2.0,0.0,2.474,0.337,1.275,0.6,1.2,0.779,2.342,0.068,0.575,111.465
5.1,2.0,2.0,0.0,2.479,0.372,1.389,0.6,1.2,0.834,1.996,0.056,0.565,114.283
