Timestamp,Reference X,Reference Y,Reference Theta,Current X,Current Y,Current Theta,Linear Velocity,Angular Velocity,Current Motor1,Current Motor2,Voltage Motor1,Voltage Motor2,Energy Usage
0.0,2.0,0.0,0.0,0.013,-0.034,-1.562,0.004,-0.073,0.395,0.097,0.098,-0.094,0.115
0.1,2.0,0.0,0.0,0.015,-0.035,-1.565,0.042,1.127,0.757,0.237,0.161,-0.101,0.464
0.2,2.0,0.0,0.0,0.015,-0.036,-1.569,0.117,1.2,0.611,1.266,-0.157,0.273,1.525
0.3,2.0,0.0,0.0,0.013,-0.035,-1.564,0.154,1.2,0.635,1.437,-0.192,0.311,2.889
0.4,2.0,0.0,0.0,0.007,-0.043,-1.495,0.229,1.2,0.738,1.441,-0.16,0.364,4.431
0.5,2.0,0.0,0.0,0.018,-0.045,-1.381,0.267,1.2,0.875,2.311,-0.187,0.39,6.99
0.6,2.0,0.0,0.0,0.03,-0.057,-1.279,0.342,1.2,0.73,1.243,-0.092,0.419,8.401
0.7,2.0,0.0,0.0,0.032,-0.07,-1.18,0.379,1.2,0.704,1.561,-0.015,0.462,10.157
0.8,2.0,0.0,0.0,0.047,-0.101,-0.979,0.454,1.2,0.671,1.998,0.002,0.477,12.447
0.9,2.0,0.0,0.0,0.069,-0.123,-0.877,0.492,1.2,0.879,2.469,0.077,0.524,15.715
1.0,2.0,0.0,0.0,0.099,-0.157,-0.773,0.567,1.2,0.51,2.233,0.025,0.501,18.428
1.1,2.0,0.0,0.0,0.136,-0.19,-0.671,0.6,1.2,0.722,2.569,0.005,0.547,21.812
1.2,2.0,0.0,0.0,0.186,-0.227,-0.566,0.6,1.2,1.01,2.56,0.066,0.579,25.528
1.3,2.0,0.0,0.0,0.23,-0.255,-0.463,0.6,1.2,0.557,1.941,0.051,0.546,28.139
1.4,2.0,0.0,0.0,0.282,-0.28,-0.357,0.6,1.2,0.541,2.773,0.053,0.558,31.92
1.5,2.0,0.0,0.0,0.347,-0.303,-0.247,0.6,1.2,0.428,2.306,0.061,0.543,34.985
1.6,2.0,0.0,0.0,0.446,-0.323,-0.033,0.6,0.474,0.739,1.366,0.088,0.53,36.879
1.7,2.0,0.0,0.0,0.512,-0.326,0.073,0.6,0.56,0.657,2.046,0.248,0.467,39.564
1.8,2.0,0.0,0.0,0.562,-0.32,0.17,0.6,0.202,0.451,2.39,0.147,0.479,42.471
1.9,2.0,0.0,0.0,0.621,-0.302,0.227,0.6,-0.155,0.637,0.757,0.345,0.328,43.595
2.0,2.0,0.0,0.0,0.682,-0.291,0.257,0.6,-0.117,1.627,0.263,0.421,0.309,45.432
