Timestamp,Reference X,Reference Y,Reference Theta,Current X,Current Y,Current Theta,Linear Velocity,Angular Velocity,Current Motor1,Current Motor2,Voltage Motor1,Voltage Motor2,Energy Usage
0.0,2.0,0.0,0.0,0.006,-0.03,-1.573,0.0,0.017,0.408,0.098,0.085,0.053,0.096
0.1,2.0,0.0,0.0,0.006,-0.032,-1.573,0.075,1.2,0.43,0.132,-0.111,0.12,0.249
0.2,2.0,0.0,0.0,0.004,-0.032,-1.573,0.225,1.2,1.595,2.131,-0.275,0.382,3.252
0.3,2.0,0.0,0.0,0.012,-0.055,-1.558,0.45,1.2,0.714,3.219,-0.032,0.444,6.742
0.4,2.0,0.0,0.0,0.037,-0.07,-1.377,0.6,1.2,0.73,1.611,0.017,0.477,8.618
0.5,2.0,0.0,0.0,0.049,-0.095,-1.28,0.6,1.2,0.74,2.182,0.192,0.557,11.875
0.6,2.0,0.0,0.0,0.064,-0.105,-1.28,0.6,1.2,0.852,1.919,0.08,0.566,14.644
0.7,2.0,0.0,0.0,0.085,-0.136,-1.177,0.6,1.2,0.603,2.472,0.015,0.551,17.933
0.8,2.0,0.0,0.0,0.13,-0.23,-0.972,0.6,1.2,0.674,2.121,0.052,0.55,20.814
0.9,2.0,0.0,0.0,0.137,-0.239,-0.972,0.6,1.2,0.553,2.302,0.089,0.593,24.209
1.0,2.0,0.0,0.0,0.194,-0.31,-0.757,0.6,1.2,0.936,2.306,0.052,0.551,27.375
1.1,2.0,0.0,0.0,0.239,-0.354,-0.646,0.6,1.2,0.727,2.145,0.07,0.584,30.505
1.2,2.0,0.0,0.0,0.298,-0.392,-0.43,0.6,1.2,0.678,2.591,0.068,0.562,34.113
1.3,2.0,0.0,0.0,0.354,-0.424,-0.32,0.6,1.2,0.575,1.624,0.066,0.559,36.381
1.4,2.0,0.0,0.0,0.424,-0.447,-0.212,0.6,1.2,0.744,2.386,0.054,0.57,39.743
1.5,2.0,0.0,0.0,0.479,-0.46,-0.105,0.6,1.2,0.722,3.149,0.066,0.605,44.426
1.6,2.0,0.0,0.0,0.536,-0.472,0.002,0.6,1.2,0.56,3.026,0.059,0.571,48.649
1.7,2.0,0.0,0.0,0.572,-0.462,0.11,0.6,0.242,0.596,2.894,0.058,0.579,52.752
1.8,2.0,0.0,0.0,0.643,-0.457,0.215,0.6,0.26,0.548,1.52,0.127,0.493,54.718
1.9,2.0,0.0,0.0,0.703,-0.421,0.415,0.6,-0.832,0.838,0.208,0.394,0.29,55.654
2.0,2.0,0.0,0.0,0.743,-0.397,0.454,0.6,-0.735,1.921,0.104,0.503,0.096,57.997
2.1,2.0,0.0,0.0,0.793,-0.367,0.42,0.6,-0.336,2.093,0.306,0.488,0.204,60.6
2.2,2.0,0.0,0.0,0.861,-0.346,0.355,0.6,-0.243,2.512,0.211,0.454,0.186,63.434
2.3,2.0,0.0,0.0,0.916,-0.339,0.311,0.6,0.102,1.126,0.293,0.388,0.283,64.683
2.4,2.0,0.0,0.0,1.001,-0.309,0.274,0.6,0.115,1.025,0.203,0.332,0.309,65.649
2.5,2.0,0.0,0.0,1.026,-0.307,0.274,0.6,0.136,0.585,0.501,0.296,0.379,66.519
2.6,2.0,0.0,0.0,1.117,-0.284,0.283,0.6,0.12,0.641,0.736,0.301,0.366,67.628
2.7,2.0,0.0,0.0,1.164,-0.269,0.292,0.6,0.058,0.557,0.754,0.294,0.39,68.726
2.8,2.0,0.0,0.0,1.238,-0.241,0.299,0.6,0.051,0.593,0.445,0.304,0.378,69.562
2.9,2.0,0.0,0.0,1.3,-0.219,0.303,0.6,0.037,0.637,1.468,0.291,0.399,71.413
3.0,2.0,0.0,0.0,1.352,-0.202,0.306,0.6,-0.018,0.48,0.485,0.304,0.363,72.185
3.1,2.0,0.0,0.0,1.416,-0.181,0.309,0.6,-0.064,0.632,0.322,0.349,0.341,72.979
3.2,2.0,0.0,0.0,1.469,-0.157,0.317,0.6,-0.032,1.005,0.219,0.369,0.315,74.036
3.3,2.0,0.0,0.0,1.531,-0.133,0.313,0.6,-0.096,0.648,0.267,0.37,0.363,74.843
3.4,2.0,0.0,0.0,1.606,-0.103,0.314,0.6,-0.139,1.107,0.221,0.388,0.302,76.034
3.5,2.0,0.0,0.0,1.662,-0.086,0.312,0.6,-0.133,1.246,0.143,0.409,0.268,77.35
3.6,2.0,0.0,0.0,1.708,-0.07,0.307,0.6,-0.108,1.391,0.16,0.392,0.258,78.758
3.7,2.0,0.0,0.0,1.764,-0.054,0.297,0.6,-0.083,1.448,0.269,0.385,0.286,80.28
3.8,2.0,0.0,0.0,1.819,-0.035,0.28,0.6,-0.083,0.652,0.1,0.339,0.272,80.876
3.9,2.0,0.0,0.0,1.885,-0.015,0.275,0.45,-0.088,0.947,0.105,0.327,0.235,81.678
4.0,2.0,2.0,0.0,1.922,-0.006,0.272,0.375,-0.085,0.503,0.097,0.263,0.148,82.03
4.1,2.0,2.0,0.0,1.994,0.014,0.269,0.525,1.2,0.473,0.107,0.231,0.148,82.329
4.2,2.0,2.0,0.0,2.026,0.023,0.262,0.6,1.2,0.81,4.505,0.122,0.585,88.892
4.3,2.0,2.0,0.0,2.065,0.018,0.278,0.6,1.2,0.704,2.804,0.098,0.575,92.923
4.4,2.0,2.0,0.0,2.155,0.008,0.365,0.6,1.2,0.571,1.84,0.095,0.55,95.483
4.5,2.0,2.0,0.0,2.187,0.022,0.473,0.6,1.2,0.648,1.863,0.034,0.545,97.973
4.6,2.0,2.0,0.0,2.231,0.049,0.584,0.6,1.2,0.65,1.909,0.057,0.565,100.649
4.7,2.0,2.0,0.0,2.303,0.112,0.802,0.6,1.2,0.532,2.135,0.045,0.575,103.65
4.8,2.0,2.0,0.0,2.33,0.141,0.913,0.6,1.2,0.661,2.098,0.042,0.575,106.609
4.9,2.0,2.0,0.0,2.374,0.192,1.029,0.6,1.2,0.736,2.438,0.054,0.565,110.009
5.0,2.0,2.0,0.0,2.418,0.254,1.144,0.6,1.2,0.619,2.135,0.086,0.565,113.031
5.1,2.0,2.0,0.0,2.43,0.34,1.363,0.6,1.2,0.462,2.546,0.064,0.555,116.493
5.2,2.0,2.0,0.0,2.443,0.395,1.47,0.6,1.2,0.67,2.231,0.033,0.555,119.516
5.3,2.0,2.0,0.0,2.462,0.438,1.47,0.6,1.2,0.711,2.088,0.069,0.56,122.439
5.4,2.0,2.0,0.0,2.453,0.534,1.682,0.6,0.12,0.655,2.028,0.047,0.545,125.167
5.5,2.0,2.0,0.0,2.449,0.625,1.79,0.6,0.229,0.462,1.703,0.226,0.469,127.332
5.6,2.0,2.0,0.0,2.436,0.699,1.897,0.6,-0.391,0.698,0.213,0.366,0.268,128.082
5.7,2.0,2.0,0.0,2.377,0.789,1.964,0.6,-0.343,1.86,0.208,0.418,0.277,130.085
5.8,2.0,2.0,0.0,2.35,0.846,1.931,0.6,-0.48,2.018,0.226,0.443,0.205,132.342
5.9,2.0,2.0,0.0,2.341,0.873,1.931,0.6,-0.123,1.637,0.171,0.472,0.187,134.275
6.0,2.0,2.0,0.0,2.321,0.941,1.876,0.6,0.07,0.995,0.17,0.378,0.308,135.304
6.1,2.0,2.0,0.0,2.309,0.974,1.876,0.6,0.015,1.868,0.319,0.403,0.319,137.354
6.2,2.0,2.0,0.0,2.282,1.043,1.825,0.6,0.042,0.926,0.193,0.364,0.297,138.301
6.3,2.0,2.0,0.0,2.272,1.104,1.834,0.6,0.137,0.58,0.252,0.323,0.35,138.963
6.4,2.0,2.0,0.0,2.248,1.175,1.842,0.6,0.071,0.57,0.82,0.283,0.383,140.104
6.5,2.0,2.0,0.0,2.239,1.22,1.851,0.6,0.029,0.56,0.756,0.284,0.383,141.18
6.6,2.0,2.0,0.0,2.221,1.306,1.858,0.6,0.067,0.448,0.585,0.294,0.374,142.021
6.7,2.0,2.0,0.0,2.198,1.374,1.859,0.6,0.038,0.538,0.899,0.307,0.361,143.197
6.8,2.0,2.0,0.0,2.178,1.41,1.863,0.6,-0.03,0.673,0.569,0.329,0.347,144.203
6.9,2.0,2.0,0.0,2.167,1.471,1.868,0.6,-0.025,0.616,1.008,0.308,0.362,145.534
7.0,2.0,2.0,0.0,2.145,1.542,1.874,0.6,0.04,0.794,0.279,0.341,0.355,146.421
7.1,2.0,2.0,0.0,2.134,1.599,1.875,0.6,0.005,0.653,0.235,0.344,0.348,147.156
7.2,2.0,2.0,0.0,2.115,1.666,1.875,0.6,0.07,0.551,0.791,0.321,0.392,148.326
7.3,2.0,2.0,0.0,2.095,1.723,1.878,0.6,0.057,0.652,0.572,0.323,0.365,149.333
7.4,2.0,2.0,0.0,2.07,1.793,1.881,0.6,0.002,0.77,0.603,0.346,0.358,150.491
7.5,2.0,2.0,0.0,2.058,1.833,1.892,0.525,0.011,0.75,1.518,0.332,0.374,152.451
7.6,2.0,2.0,0.0,2.036,1.893,1.894,0.375,-0.003,0.408,0.165,0.239,0.246,152.783
