Timestamp,Reference X,Reference Y,Reference Theta,Current X,Current Y,Current Theta,Linear Velocity,Angular Velocity,Current Motor1,Current Motor2,Voltage Motor1,Voltage Motor2,Energy Usage
0.0,2.0,0.0,0.0,0.017,-0.047,-1.562,0.0,-0.102,0.409,0.103,0.093,-0.012,0.094
0.1,2.0,0.0,0.0,0.015,-0.047,-1.563,0.15,1.2,0.451,0.098,0.034,0.009,0.133
0.2,2.0,0.0,0.0,0.018,-0.045,-1.563,0.3,1.2,0.734,1.479,-0.133,0.296,1.416
0.3,2.0,0.0,0.0,0.034,-0.042,-1.543,0.525,1.2,0.612,2.72,-0.076,0.446,4.443
0.4,2.0,0.0,0.0,0.046,-0.043,-1.543,0.6,1.2,0.576,3.507,0.128,0.591,9.596
0.5,2.0,0.0,0.0,0.068,-0.062,-1.362,0.6,1.2,0.575,2.122,0.088,0.552,12.528
0.6,2.0,0.0,0.0,0.088,-0.091,-1.262,0.6,1.2,0.419,2.247,0.042,0.557,15.572
0.7,2.0,0.0,0.0,0.103,-0.141,-1.161,0.6,1.2,0.854,2.267,0.088,0.581,18.914
0.8,2.0,0.0,0.0,0.127,-0.2,-1.06,0.6,1.2,0.762,2.306,0.082,0.542,22.06
0.9,2.0,0.0,0.0,0.14,-0.236,-0.953,0.6,1.2,0.607,2.526,0.05,0.575,25.622
1.0,2.0,0.0,0.0,0.182,-0.314,-0.739,0.6,1.2,0.582,2.641,0.076,0.543,29.168
1.1,2.0,0.0,0.0,0.211,-0.344,-0.631,0.6,1.2,0.508,2.906,0.059,0.579,33.278
1.2,2.0,0.0,0.0,0.278,-0.396,-0.524,0.6,1.2,0.456,2.402,0.071,0.54,36.47
1.3,2.0,0.0,0.0,0.36,-0.44,-0.304,0.6,1.2,0.699,2.022,0.064,0.536,39.18
1.4,2.0,0.0,0.0,0.402,-0.453,-0.193,0.6,1.2,0.607,2.675,0.067,0.569,42.931
1.5,2.0,0.0,0.0,0.469,-0.477,-0.083,0.6,1.2,0.532,2.498,0.064,0.58,46.488
1.6,2.0,0.0,0.0,0.518,-0.484,0.022,0.6,1.2,0.542,2.206,0.062,0.579,49.636
1.7,2.0,0.0,0.0,0.583,-0.485,0.129,0.6,0.896,0.478,0.444,0.219,0.458,50.375
1.8,2.0,0.0,0.0,0.659,-0.472,0.232,0.6,-0.065,0.39,0.643,0.23,0.388,51.189
1.9,2.0,0.0,0.0,0.731,-0.463,0.364,0.6,-0.198,0.783,0.38,0.372,0.314,52.174
2.0,2.0,0.0,0.0,0.758,-0.459,0.364,0.6,-0.125,0.728,0.229,0.358,0.307,52.968
2.1,2.0,0.0,0.0,0.852,-0.432,0.367,0.6,-0.079,1.566,0.395,0.41,0.304,54.797
2.2,2.0,0.0,0.0,0.903,-0.413,0.363,0.6,-0.054,0.914,0.161,0.376,0.289,55.734
2.3,2.0,0.0,0.0,0.946,-0.401,0.361,0.6,0.008,0.628,0.233,0.331,0.34,56.423
2.4,2.0,0.0,0.0,0.985,-0.38,0.353,0.6,0.05,1.278,0.277,0.361,0.34,57.756
2.5,2.0,0.0,0.0,1.046,-0.349,0.352,0.6,0.023,0.659,0.687,0.357,0.378,58.944
2.6,2.0,0.0,0.0,1.098,-0.322,0.358,0.6,-0.049,0.651,0.314,0.341,0.308,59.71
2.7,2.0,0.0,0.0,1.137,-0.308,0.362,0.6,-0.082,1.304,0.25,0.395,0.308,61.131
2.8,2.0,0.0,0.0,1.231,-0.274,0.359,0.6,-0.081,0.767,0.185,0.378,0.317,61.967
2.9,2.0,0.0,0.0,1.29,-0.25,0.355,0.6,-0.063,0.585,0.213,0.349,0.316,62.618
3.0,2.0,0.0,0.0,1.348,-0.229,0.353,0.6,-0.07,0.67,0.175,0.359,0.289,63.316
3.1,2.0,0.0,0.0,1.398,-0.209,0.353,0.6,-0.055,1.146,0.197,0.387,0.324,64.534
3.2,2.0,0.0,0.0,1.468,-0.186,0.35,0.6,-0.03,0.752,0.139,0.372,0.309,65.308
3.3,2.0,0.0,0.0,1.493,-0.177,0.346,0.6,-0.019,0.754,0.233,0.361,0.314,66.137
3.4,2.0,0.0,0.0,1.578,-0.141,0.34,0.6,-0.033,1.214,0.238,0.366,0.318,67.385
3.5,2.0,0.0,0.0,1.645,-0.118,0.339,0.6,-0.051,1.081,0.161,0.375,0.292,68.471
3.6,2.0,0.0,0.0,1.679,-0.106,0.339,0.6,-0.038,0.809,0.202,0.352,0.303,69.302
3.7,2.0,0.0,0.0,1.755,-0.078,0.335,0.6,-0.037,0.874,0.26,0.354,0.346,70.261
3.8,2.0,0.0,0.0,1.82,-0.054,0.333,0.525,-0.043,0.634,0.154,0.359,0.314,70.923
3.9,2.0,0.0,0.0,1.877,-0.035,0.333,0.45,-0.041,0.578,0.089,0.275,0.231,71.354
4.0,2.0,2.0,0.0,1.945,-0.007,0.332,0.525,1.2,0.398,0.09,0.16,0.142,71.538
4.1,2.0,2.0,0.0,1.978,0.005,0.329,0.6,1.2,0.763,2.866,0.019,0.518,75.137
4.2,2.0,2.0,0.0,2.025,0.016,0.348,0.6,1.2,0.716,2.61,0.098,0.57,78.874
