Timestamp,Reference X,Reference Y,Reference Theta,Current X,Current Y,Current Theta,Linear Velocity,Angular Velocity,Current Motor1,Current Motor2,Voltage Motor1,Voltage Motor2,Energy Usage
0.0,2.0,0.0,0.0,0.025,-0.073,-1.579,0.004,0.066,0.394,0.136,0.051,0.049,0.064
0.1,2.0,0.0,0.0,0.023,-0.075,-1.578,0.023,1.2,0.39,0.108,0.071,0.054,0.145
0.2,2.0,0.0,0.0,0.022,-0.074,-1.577,0.06,1.2,1.18,1.515,-0.282,0.351,2.217
0.3,2.0,0.0,0.0,0.015,-0.087,-1.569,0.098,1.2,1.06,0.906,-0.245,0.283,3.456
0.4,2.0,0.0,0.0,0.017,-0.114,-1.39,0.116,1.2,0.779,0.854,-0.211,0.316,4.497
0.5,2.0,0.0,0.0,0.019,-0.121,-1.39,0.135,1.2,0.856,1.522,-0.213,0.322,6.11
0.6,2.0,0.0,0.0,0.024,-0.125,-1.29,0.173,1.2,0.77,1.112,-0.202,0.345,7.402
0.7,2.0,0.0,0.0,0.028,-0.131,-1.188,0.191,1.2,0.772,1.742,-0.184,0.398,9.408
0.8,2.0,0.0,0.0,0.038,-0.149,-0.987,0.21,1.2,0.794,2.375,-0.186,0.409,12.095
0.9,2.0,0.0,0.0,0.05,-0.165,-0.888,0.248,1.2,0.614,1.16,-0.167,0.396,13.443
1.0,2.0,0.0,0.0,0.066,-0.18,-0.787,0.304,1.2,0.817,2.499,-0.149,0.405,16.166
1.1,2.0,0.0,0.0,0.08,-0.197,-0.685,0.323,1.2,0.849,2.812,-0.113,0.433,19.317
1.2,2.0,0.0,0.0,0.115,-0.217,-0.483,0.36,1.2,0.781,1.889,-0.1,0.457,21.579
1.3,2.0,0.0,0.0,0.143,-0.23,-0.381,0.379,1.2,0.727,2.751,-0.025,0.483,24.81
1.4,2.0,0.0,0.0,0.169,-0.238,-0.277,0.416,1.2,0.68,1.864,-0.04,0.475,26.997
1.5,2.0,0.0,0.0,0.202,-0.246,-0.173,0.435,1.2,0.603,3.139,-0.028,0.501,30.814
1.6,2.0,0.0,0.0,0.246,-0.253,-0.068,0.473,0.217,0.645,1.651,0.133,0.403,32.616
1.7,2.0,0.0,0.0,0.291,-0.254,0.037,0.491,-0.138,0.483,0.675,0.239,0.363,33.48
1.8,2.0,0.0,0.0,0.321,-0.235,0.134,0.51,0.239,0.722,2.496,0.163,0.416,36.257
1.9,2.0,0.0,0.0,0.384,-0.206,0.176,0.548,-0.309,0.559,0.261,0.29,0.317,36.845
2.0,2.0,0.0,0.0,0.404,-0.2,0.176,0.566,-0.408,1.17,0.193,0.391,0.263,38.065
2.1,2.0,0.0,0.0,0.475,-0.173,0.171,0.6,-0.159,2.342,0.131,0.459,0.146,40.691
