Timestamp,Reference X,Reference Y,Reference Theta,Current X,Current Y,Current Theta,Linear Velocity,Angular Velocity,Current Motor1,Current Motor2,Voltage Motor1,Voltage Motor2,Energy Usage
0.0,2.0,0.0,0.0,0.018,-0.057,-1.585,0.003,0.129,0.493,0.158,0.099,-0.008,0.12
0.1,2.0,0.0,0.0,0.018,-0.057,-1.586,0.012,1.2,0.492,0.129,-0.143,0.14,0.332
0.2,2.0,0.0,0.0,0.016,-0.06,-1.583,0.031,1.2,1.287,0.846,-0.272,0.289,1.759
0.3,2.0,0.0,0.0,0.011,-0.076,-1.574,0.05,1.2,1.246,0.959,-0.241,0.286,3.138
0.4,2.0,0.0,0.0,0.016,-0.096,-1.518,0.059,1.2,0.843,1.271,-0.254,0.322,4.635
0.5,2.0,0.0,0.0,0.019,-0.105,-1.418,0.069,1.2,1.241,0.585,-0.266,0.285,5.828
0.6,2.0,0.0,0.0,0.023,-0.112,-1.221,0.087,1.2,0.695,0.661,-0.223,0.321,6.71
0.7,2.0,0.0,0.0,0.029,-0.121,-1.121,0.115,1.2,0.84,1.627,-0.214,0.338,8.462
0.8,2.0,0.0,0.0,0.04,-0.131,-1.022,0.125,1.2,0.963,1.003,-0.217,0.329,9.755
0.9,2.0,0.0,0.0,0.047,-0.138,-0.922,0.144,1.2,0.833,2.626,-0.209,0.363,12.463
1.0,2.0,0.0,0.0,0.059,-0.143,-0.822,0.153,1.2,0.84,1.139,-0.204,0.35,13.832
1.1,2.0,0.0,0.0,0.063,-0.149,-0.721,0.162,1.2,0.856,1.142,-0.207,0.373,15.281
1.2,2.0,0.0,0.0,0.08,-0.159,-0.62,0.172,1.2,0.946,1.241,-0.205,0.35,16.789
1.3,2.0,0.0,0.0,0.098,-0.162,-0.415,0.19,1.2,0.779,2.61,-0.186,0.392,19.59
1.4,2.0,0.0,0.0,0.116,-0.167,-0.313,0.209,1.145,0.795,1.649,-0.171,0.37,21.382
1.5,2.0,0.0,0.0,0.127,-0.17,-0.21,0.228,0.49,0.711,0.899,-0.183,0.368,22.486
1.6,2.0,0.0,0.0,0.149,-0.178,-0.108,0.237,0.508,0.396,0.316,0.016,0.269,22.706
1.7,2.0,0.0,0.0,0.168,-0.17,-0.018,0.256,0.46,0.609,1.386,0.093,0.286,23.792
1.8,2.0,0.0,0.0,0.204,-0.15,0.069,0.284,-0.157,0.533,1.147,0.145,0.286,24.766
1.9,2.0,0.0,0.0,0.218,-0.146,0.095,0.294,-0.116,0.501,0.172,0.232,0.197,25.126
2.0,2.0,0.0,0.0,0.266,-0.124,0.097,0.312,-0.067,2.002,0.319,0.309,0.2,26.761
2.1,2.0,0.0,0.0,0.301,-0.118,0.088,0.331,-0.062,0.73,0.113,0.246,0.204,27.248
2.2,2.0,0.0,0.0,0.336,-0.119,0.08,0.35,-0.034,0.607,0.202,0.225,0.195,27.67
2.3,2.0,0.0,0.0,0.384,-0.116,0.078,0.359,-0.031,0.494,0.102,0.229,0.187,27.987
2.4,2.0,0.0,0.0,0.421,-0.114,0.076,0.378,-0.036,0.611,0.109,0.255,0.207,28.416
2.5,2.0,0.0,0.0,0.463,-0.107,0.074,0.397,-0.027,0.748,0.279,0.272,0.257,29.077
2.6,2.0,0.0,0.0,0.514,-0.103,0.076,0.416,-0.034,0.662,0.238,0.263,0.276,29.653
2.7,2.0,0.0,0.0,0.546,-0.105,0.075,0.425,-0.058,0.652,0.136,0.275,0.238,30.161
2.8,2.0,0.0,0.0,0.589,-0.103,0.076,0.444,0.003,0.854,0.182,0.291,0.246,30.865
