Timestamp,Reference X,Reference Y,Reference Theta,Current X,Current Y,Current Theta,Linear Velocity,Angular Velocity,Current Motor1,Current Motor2,Voltage Motor1,Voltage Motor2,Energy Usage
0.0,2.0,0.0,0.0,0.013,-0.02,-1.559,0.0,-0.083,0.415,0.084,0.091,-0.009,0.093
0.1,2.0,0.0,0.0,0.012,-0.02,-1.558,0.6,1.2,0.424,0.09,0.081,-0.023,0.18
0.2,2.0,0.0,0.0,0.012,-0.019,-1.561,0.6,1.2,1.588,0.689,0.284,0.279,1.726
0.3,2.0,0.0,0.0,0.022,-0.022,-1.561,0.6,1.2,1.332,4.576,0.213,0.603,9.026
0.4,2.0,0.0,0.0,0.017,-0.062,-1.532,0.6,1.2,0.519,2.285,0.052,0.543,12.068
0.5,2.0,0.0,0.0,0.027,-0.143,-1.452,0.6,1.2,0.86,1.974,0.063,0.55,14.805
0.6,2.0,0.0,0.0,0.032,-0.207,-1.351,0.6,1.2,0.936,2.548,0.076,0.555,18.37
0.7,2.0,0.0,0.0,0.037,-0.259,-1.244,0.6,1.2,0.662,2.23,0.065,0.548,21.407
0.8,2.0,0.0,0.0,0.05,-0.329,-1.138,0.6,1.2,0.417,2.317,0.087,0.565,24.633
0.9,2.0,0.0,0.0,0.088,-0.398,-0.921,0.6,1.2,0.906,2.646,0.07,0.554,28.302
1.0,2.0,0.0,0.0,0.123,-0.454,-0.812,0.6,1.2,0.591,2.043,0.067,0.531,31.0
1.1,2.0,0.0,0.0,0.156,-0.492,-0.705,0.6,1.2,0.568,2.361,0.071,0.563,34.289
1.2,2.0,0.0,0.0,0.207,-0.538,-0.597,0.6,1.2,0.64,2.172,0.043,0.551,37.227
1.3,2.0,0.0,0.0,0.269,-0.58,-0.49,0.6,1.2,0.861,2.388,0.051,0.544,40.45
1.4,2.0,0.0,0.0,0.307,-0.598,-0.382,0.6,1.2,0.381,2.147,0.078,0.546,43.333
1.5,2.0,0.0,0.0,0.389,-0.619,-0.169,0.6,1.2,0.48,3.772,0.061,0.604,48.868
1.6,2.0,0.0,0.0,0.428,-0.635,-0.169,0.6,1.2,0.969,3.121,0.069,0.598,53.506
1.7,2.0,0.0,0.0,0.501,-0.628,0.041,0.6,1.2,0.732,2.456,0.066,0.559,56.917
1.8,2.0,0.0,0.0,0.55,-0.623,0.147,0.6,1.2,0.616,2.275,0.065,0.569,60.119
1.9,2.0,0.0,0.0,0.623,-0.616,0.252,0.6,0.044,0.593,2.542,0.054,0.546,63.527
2.0,2.0,0.0,0.0,0.705,-0.593,0.357,0.6,0.24,0.571,0.269,0.303,0.336,64.159
2.1,2.0,0.0,0.0,0.743,-0.569,0.442,0.6,-0.288,0.69,0.134,0.368,0.258,64.85
2.2,2.0,0.0,0.0,0.811,-0.496,0.479,0.6,-0.268,0.65,0.48,0.373,0.31,65.79
2.3,2.0,0.0,0.0,0.855,-0.468,0.456,0.6,-0.372,2.113,0.145,0.454,0.2,68.16
2.4,2.0,0.0,0.0,0.906,-0.441,0.439,0.6,-0.108,1.774,0.09,0.438,0.194,70.067
2.5,2.0,0.0,0.0,0.973,-0.411,0.412,0.6,-0.104,1.694,0.145,0.392,0.275,71.757
2.6,2.0,0.0,0.0,1.02,-0.392,0.391,0.6,-0.003,1.279,0.164,0.37,0.277,73.002
2.7,2.0,0.0,0.0,1.081,-0.37,0.384,0.6,0.019,1.219,0.188,0.37,0.299,74.219
2.8,2.0,0.0,0.0,1.115,-0.357,0.378,0.6,0.0,0.715,0.14,0.367,0.314,74.956
2.9,2.0,0.0,0.0,1.181,-0.329,0.378,0.6,0.009,0.571,0.236,0.319,0.325,75.577
3.0,2.0,0.0,0.0,1.245,-0.301,0.378,0.6,-0.041,0.614,0.24,0.313,0.342,76.236
3.1,2.0,0.0,0.0,1.307,-0.279,0.384,0.6,0.01,0.635,0.475,0.345,0.335,77.144
3.2,2.0,0.0,0.0,1.361,-0.255,0.382,0.6,0.011,0.732,0.292,0.364,0.354,78.031
3.3,2.0,0.0,0.0,1.421,-0.231,0.381,0.6,-0.018,0.639,0.288,0.33,0.348,78.777
3.4,2.0,0.0,0.0,1.479,-0.208,0.382,0.6,-0.005,0.618,0.272,0.337,0.315,79.482
3.5,2.0,0.0,0.0,1.555,-0.174,0.378,0.6,-0.007,0.623,0.297,0.34,0.334,80.228
3.6,2.0,0.0,0.0,1.599,-0.159,0.378,0.6,-0.011,0.891,0.248,0.356,0.336,81.189
3.7,2.0,0.0,0.0,1.649,-0.14,0.378,0.6,-0.005,0.64,0.342,0.342,0.358,82.007
3.8,2.0,0.0,0.0,1.714,-0.112,0.379,0.6,-0.004,1.398,0.501,0.375,0.371,83.714
3.9,2.0,0.0,0.0,1.775,-0.084,0.382,0.6,-0.037,0.562,0.24,0.305,0.348,84.325
4.0,2.0,0.0,0.0,1.842,-0.055,0.384,0.574,-0.034,0.571,0.385,0.308,0.34,85.061
4.1,2.0,0.0,0.0,1.891,-0.037,0.385,0.0,-0.031,0.603,0.227,0.298,0.294,85.653
4.2,2.0,2.0,0.0,1.936,-0.01,0.379,0.6,1.168,0.482,0.168,-0.074,-0.103,85.78
4.3,2.0,2.0,0.0,1.968,0.013,0.38,0.6,1.2,1.824,2.481,0.302,0.357,89.225
4.4,2.0,2.0,0.0,2.015,0.025,0.381,0.6,1.2,1.253,4.166,0.224,0.586,95.755
4.5,2.0,2.0,0.0,1.984,0.005,0.395,0.6,1.2,0.922,3.251,0.074,0.575,100.403
4.6,2.0,2.0,0.0,2.034,0.018,0.456,0.6,1.2,0.865,2.156,0.091,0.579,103.589
4.7,2.0,2.0,0.0,2.084,0.036,0.56,0.6,1.2,0.741,2.995,0.08,0.565,107.791
4.8,2.0,2.0,0.0,2.145,0.073,0.672,0.6,1.2,0.704,2.222,0.061,0.545,110.801
4.9,2.0,2.0,0.0,2.192,0.13,0.896,0.6,1.2,0.603,1.833,0.079,0.545,113.314
5.0,2.0,2.0,0.0,2.244,0.189,1.004,0.6,1.2,0.623,2.211,0.061,0.555,116.35
5.1,2.0,2.0,0.0,2.278,0.25,1.116,0.6,1.2,0.614,3.0,0.083,0.565,120.539
5.2,2.0,2.0,0.0,2.308,0.307,1.227,0.6,1.2,0.802,2.157,0.062,0.56,123.557
5.3,2.0,2.0,0.0,2.326,0.363,1.337,0.6,1.2,0.691,1.814,0.045,0.535,125.964
5.4,2.0,2.0,0.0,2.336,0.445,1.557,0.6,1.052,0.606,2.419,0.067,0.575,129.396
5.5,2.0,2.0,0.0,2.341,0.496,1.663,0.6,0.424,0.542,0.503,0.276,0.429,130.273
5.6,2.0,2.0,0.0,2.338,0.57,1.758,0.6,0.013,0.411,1.921,0.152,0.463,132.557
5.7,2.0,2.0,0.0,2.329,0.662,1.822,0.6,-0.21,0.487,0.68,0.319,0.327,133.464
5.8,2.0,2.0,0.0,2.325,0.684,1.851,0.6,-0.146,1.149,0.299,0.383,0.302,134.737
5.9,2.0,2.0,0.0,2.299,0.777,1.832,0.6,-0.137,1.377,0.197,0.384,0.203,136.103
6.0,2.0,2.0,0.0,2.281,0.851,1.807,0.6,0.063,0.743,0.182,0.347,0.27,136.841
6.1,2.0,2.0,0.0,2.265,0.914,1.8,0.6,0.063,1.072,0.306,0.348,0.341,137.987
6.2,2.0,2.0,0.0,2.253,0.95,1.803,0.6,0.008,0.661,0.532,0.31,0.351,138.927
6.3,2.0,2.0,0.0,2.239,1.005,1.807,0.6,0.008,0.646,0.301,0.311,0.357,139.667
6.4,2.0,2.0,0.0,2.221,1.074,1.808,0.6,-0.034,0.868,0.546,0.382,0.378,140.96
6.5,2.0,2.0,0.0,2.208,1.117,1.809,0.6,-0.033,0.603,0.274,0.341,0.314,141.661
6.6,2.0,2.0,0.0,2.203,1.161,1.811,0.6,-0.032,0.603,0.274,0.341,0.314,142.361
6.7,2.0,2.0,0.0,2.184,1.233,1.809,0.6,-0.006,0.661,0.208,0.343,0.326,143.068
6.8,2.0,2.0,0.0,2.17,1.306,1.804,0.6,0.0,0.684,0.295,0.351,0.339,143.884
6.9,2.0,2.0,0.0,2.156,1.36,1.806,0.6,0.029,0.651,0.293,0.345,0.366,144.68
7.0,2.0,2.0,0.0,2.132,1.433,1.804,0.6,-0.003,0.607,1.133,0.321,0.372,146.159
7.1,2.0,2.0,0.0,2.117,1.482,1.807,0.6,-0.062,0.603,0.694,0.339,0.346,147.226
7.2,2.0,2.0,0.0,2.112,1.533,1.813,0.6,-0.06,0.707,0.288,0.351,0.32,148.043
7.3,2.0,2.0,0.0,2.094,1.595,1.811,0.6,-0.01,0.828,0.566,0.37,0.37,149.281
7.4,2.0,2.0,0.0,2.087,1.65,1.806,0.6,-0.016,0.743,0.242,0.345,0.324,150.083
7.5,2.0,2.0,0.0,2.079,1.691,1.806,0.6,0.027,0.877,0.24,0.364,0.314,151.03
7.6,2.0,2.0,0.0,2.057,1.762,1.807,0.6,-0.001,0.738,0.261,0.356,0.342,151.874
7.7,2.0,2.0,0.0,2.045,1.818,1.808,0.6,-0.009,0.641,0.285,0.35,0.337,152.643
