Timestamp,Reference X,Reference Y,Reference Theta,Current X,Current Y,Current Theta,Linear Velocity,Angular Velocity,Current Motor1,Current Motor2,Voltage Motor1,Voltage Motor2,Energy Usage
0.0,2.0,0.0,0.0,0.008,-0.02,-1.57,0.004,-0.026,0.412,0.098,0.116,-0.033,0.123
0.1,2.0,0.0,0.0,0.01,-0.02,-1.57,0.6,1.2,0.59,0.09,0.158,0.028,0.352
0.2,2.0,0.0,0.0,0.009,-0.021,-1.571,0.6,1.2,1.081,3.07,0.25,0.486,4.586
0.3,2.0,0.0,0.0,0.021,-0.021,-1.575,0.6,1.2,0.645,3.993,0.21,0.601,10.673
0.4,2.0,0.0,0.0,0.015,-0.051,-1.544,0.6,1.2,0.453,2.802,0.069,0.556,14.485
0.5,2.0,0.0,0.0,0.015,-0.136,-1.352,0.6,1.2,0.725,2.644,0.065,0.578,18.264
0.6,2.0,0.0,0.0,0.025,-0.211,-1.242,0.6,1.2,0.705,2.234,0.052,0.563,21.369
0.7,2.0,0.0,0.0,0.044,-0.267,-1.133,0.6,1.2,0.719,1.914,0.047,0.557,24.011
0.8,2.0,0.0,0.0,0.059,-0.308,-1.023,0.6,1.2,0.62,1.745,0.066,0.554,26.429
0.9,2.0,0.0,0.0,0.115,-0.395,-0.807,0.6,1.2,0.788,2.726,0.041,0.563,30.189
1.0,2.0,0.0,0.0,0.166,-0.447,-0.697,0.6,1.2,0.759,3.468,0.09,0.587,35.236
1.1,2.0,0.0,0.0,0.222,-0.503,-0.591,0.6,1.2,0.363,2.222,0.047,0.542,38.168
1.2,2.0,0.0,0.0,0.274,-0.547,-0.485,0.6,1.2,0.535,2.075,0.054,0.542,40.939
1.3,2.0,0.0,0.0,0.327,-0.571,-0.38,0.6,1.2,0.745,3.695,0.081,0.605,46.445
1.4,2.0,0.0,0.0,0.372,-0.588,-0.269,0.6,1.2,0.728,2.577,0.079,0.566,50.085
1.5,2.0,0.0,0.0,0.425,-0.604,-0.163,0.6,1.2,0.661,1.579,0.077,0.558,52.323
1.6,2.0,0.0,0.0,0.501,-0.601,0.047,0.6,1.2,0.412,2.266,0.053,0.546,55.346
1.7,2.0,0.0,0.0,0.56,-0.6,0.151,0.6,1.197,0.534,2.788,0.06,0.564,59.196
1.8,2.0,0.0,0.0,0.625,-0.588,0.255,0.6,0.558,0.609,2.013,0.062,0.552,61.952
1.9,2.0,0.0,0.0,0.652,-0.588,0.255,0.6,-0.072,0.45,0.823,0.179,0.428,62.991
2.0,2.0,0.0,0.0,0.745,-0.545,0.461,0.6,-0.577,0.65,0.473,0.335,0.33,63.887
2.1,2.0,0.0,0.0,0.801,-0.506,0.505,0.6,-0.452,2.472,0.229,0.516,0.093,67.002
2.2,2.0,0.0,0.0,0.838,-0.471,0.485,0.6,-0.162,1.179,0.134,0.394,0.212,68.186
2.3,2.0,0.0,0.0,0.888,-0.461,0.416,0.6,0.069,2.25,0.303,0.411,0.253,70.589
2.4,2.0,0.0,0.0,0.94,-0.455,0.381,0.6,0.173,0.881,0.26,0.342,0.325,71.515
2.5,2.0,0.0,0.0,0.982,-0.438,0.367,0.6,0.139,0.609,1.099,0.303,0.388,72.982
2.6,2.0,0.0,0.0,1.029,-0.423,0.367,0.6,0.176,0.54,0.943,0.309,0.405,74.299
2.7,2.0,0.0,0.0,1.102,-0.382,0.389,0.6,0.044,0.598,1.848,0.257,0.395,76.421
2.8,2.0,0.0,0.0,1.18,-0.351,0.404,0.6,-0.02,0.53,0.831,0.288,0.386,77.557
2.9,2.0,0.0,0.0,1.237,-0.328,0.41,0.6,-0.034,0.606,0.38,0.332,0.364,78.373
3.0,2.0,0.0,0.0,1.299,-0.3,0.41,0.6,-0.019,0.616,1.284,0.363,0.387,80.102
