Timestamp,Reference X,Reference Y,Reference Theta,Current X,Current Y,Current Theta,Linear Velocity,Angular Velocity,Current Motor1,Current Motor2,Voltage Motor1,Voltage Motor2,Energy Usage
0.0,2.0,0.0,0.0,0.02,-0.033,-1.565,0.003,-0.061,0.612,0.171,0.128,-0.113,0.234
0.1,2.0,0.0,0.0,0.02,-0.033,-1.57,0.153,1.2,0.424,0.111,0.036,0.03,0.278
0.2,2.0,0.0,0.0,0.02,-0.023,-1.561,0.303,1.2,0.625,1.136,-0.179,0.366,1.545
0.3,2.0,0.0,0.0,0.016,-0.012,-1.482,0.453,1.2,0.655,2.551,0.055,0.46,4.451
0.4,2.0,0.0,0.0,0.022,-0.008,-1.482,0.528,1.2,0.761,2.227,0.092,0.496,7.268
0.5,2.0,0.0,0.0,0.047,-0.033,-1.288,0.6,1.2,0.764,3.687,0.085,0.574,12.504
0.6,2.0,0.0,0.0,0.058,-0.066,-1.185,0.6,1.2,0.788,2.17,0.074,0.556,15.537
0.7,2.0,0.0,0.0,0.071,-0.074,-1.185,0.6,1.2,0.685,1.373,0.076,0.541,17.445
0.8,2.0,0.0,0.0,0.116,-0.168,-0.979,0.6,1.2,0.773,1.991,0.055,0.54,20.126
0.9,2.0,0.0,0.0,0.144,-0.217,-0.869,0.6,1.2,0.824,2.165,0.077,0.564,23.211
1.0,2.0,0.0,0.0,0.189,-0.289,-0.652,0.6,1.2,0.494,2.755,0.065,0.557,26.969
1.1,2.0,0.0,0.0,0.241,-0.341,-0.543,0.6,1.2,0.88,2.556,0.058,0.571,30.594
1.2,2.0,0.0,0.0,0.282,-0.371,-0.435,0.6,1.2,0.572,1.26,0.051,0.532,32.271
1.3,2.0,0.0,0.0,0.338,-0.408,-0.327,0.6,1.2,0.677,2.716,0.059,0.589,36.207
1.4,2.0,0.0,0.0,0.413,-0.441,-0.216,0.6,1.2,0.362,1.805,0.066,0.532,38.57
1.5,2.0,0.0,0.0,0.484,-0.449,0.004,0.6,1.2,0.707,2.216,0.048,0.572,41.696
1.6,2.0,0.0,0.0,0.511,-0.458,0.004,0.6,1.2,0.451,2.449,0.052,0.578,45.152
1.7,2.0,0.0,0.0,0.597,-0.451,0.215,0.6,0.249,0.686,2.259,0.059,0.586,48.426
1.8,2.0,0.0,0.0,0.683,-0.435,0.321,0.6,-0.319,1.603,0.496,0.415,0.353,50.442
1.9,2.0,0.0,0.0,0.75,-0.411,0.412,0.6,-0.409,2.48,0.474,0.462,0.236,53.46
2.0,2.0,0.0,0.0,0.815,-0.379,0.435,0.6,-0.426,1.42,0.227,0.455,0.172,55.104
2.1,2.0,0.0,0.0,0.88,-0.354,0.358,0.6,-0.233,2.698,0.192,0.495,0.169,58.388
2.2,2.0,0.0,0.0,0.935,-0.344,0.318,0.6,0.038,0.875,0.554,0.375,0.364,59.661
2.3,2.0,0.0,0.0,0.979,-0.335,0.292,0.6,0.064,0.585,0.327,0.324,0.343,60.386
2.4,2.0,0.0,0.0,1.028,-0.318,0.288,0.6,0.131,0.578,0.514,0.344,0.391,61.345
2.5,2.0,0.0,0.0,1.094,-0.297,0.294,0.6,0.036,0.525,1.17,0.314,0.382,62.815
2.6,2.0,0.0,0.0,1.17,-0.264,0.312,0.6,0.008,0.591,0.421,0.339,0.359,63.658
2.7,2.0,0.0,0.0,1.231,-0.244,0.313,0.6,-0.027,0.617,0.271,0.305,0.336,64.328
2.8,2.0,0.0,0.0,1.286,-0.224,0.313,0.6,-0.032,0.856,0.379,0.372,0.354,65.412
2.9,2.0,0.0,0.0,1.361,-0.198,0.311,0.6,-0.034,0.981,0.211,0.37,0.334,66.452
3.0,2.0,0.0,0.0,1.422,-0.18,0.311,0.6,-0.036,0.716,0.201,0.364,0.294,67.218
3.1,2.0,0.0,0.0,1.468,-0.167,0.312,0.6,-0.03,0.988,0.232,0.37,0.349,68.289
3.2,2.0,0.0,0.0,1.511,-0.156,0.308,0.6,-0.016,0.734,0.26,0.365,0.317,69.131
3.3,2.0,0.0,0.0,1.581,-0.132,0.304,0.6,0.018,0.747,0.24,0.34,0.303,69.915
3.4,2.0,0.0,0.0,1.643,-0.104,0.302,0.6,-0.002,0.603,0.224,0.337,0.349,70.59
3.5,2.0,0.0,0.0,1.702,-0.087,0.307,0.6,-0.041,0.852,0.258,0.366,0.322,71.538
3.6,2.0,0.0,0.0,1.779,-0.065,0.307,0.6,-0.01,0.927,0.242,0.352,0.33,72.514
3.7,2.0,0.0,0.0,1.829,-0.049,0.304,0.45,-0.029,0.623,0.224,0.352,0.333,73.219
3.8,2.0,0.0,0.0,1.884,-0.032,0.304,0.375,-0.024,0.362,0.082,0.181,0.173,73.41
3.9,2.0,2.0,0.0,1.947,-0.009,0.304,0.225,-0.02,0.485,0.111,0.201,0.181,73.691
4.0,2.0,2.0,0.0,1.999,0.012,0.304,0.375,1.2,0.7,2.515,-0.019,0.468,76.548
4.1,2.0,2.0,0.0,2.029,0.023,0.316,0.525,1.2,1.131,3.403,0.117,0.534,81.228
4.2,2.0,2.0,0.0,2.056,0.048,0.395,0.6,1.2,1.179,3.659,0.216,0.608,87.179
4.3,2.0,2.0,0.0,2.084,0.074,0.502,0.6,1.2,0.77,2.127,0.087,0.555,90.173
4.4,2.0,2.0,0.0,2.126,0.106,0.605,0.6,1.2,0.807,2.023,0.056,0.579,93.094
4.5,2.0,2.0,0.0,2.17,0.146,0.71,0.6,1.2,0.682,2.49,0.087,0.575,96.671
4.6,2.0,2.0,0.0,2.192,0.173,0.818,0.6,1.2,0.458,1.787,0.032,0.535,99.002
4.7,2.0,2.0,0.0,2.231,0.222,0.929,0.6,1.2,0.559,2.19,0.033,0.565,102.014
4.8,2.0,2.0,0.0,2.271,0.29,1.156,0.6,1.2,0.723,2.43,0.109,0.579,105.582
4.9,2.0,2.0,0.0,2.305,0.331,1.156,0.6,1.2,0.604,2.15,0.077,0.565,108.607
5.0,2.0,2.0,0.0,2.327,0.408,1.38,0.6,1.2,0.791,2.601,0.046,0.575,112.282
5.1,2.0,2.0,0.0,2.351,0.449,1.38,0.6,1.2,0.754,2.299,0.079,0.574,115.595
5.2,2.0,2.0,0.0,2.347,0.522,1.603,0.6,0.839,0.764,1.867,0.052,0.545,118.134
5.3,2.0,2.0,0.0,2.356,0.549,1.603,0.6,0.235,0.445,2.664,0.144,0.54,121.742
5.4,2.0,2.0,0.0,2.348,0.637,1.816,0.6,-0.134,0.602,0.405,0.287,0.386,122.53
5.5,2.0,2.0,0.0,2.333,0.687,1.891,0.6,-0.53,0.625,1.229,0.328,0.373,124.123
5.6,2.0,2.0,0.0,2.332,0.707,1.891,0.6,-0.411,1.382,0.193,0.461,0.229,125.756
5.7,2.0,2.0,0.0,2.293,0.79,1.868,0.6,-0.359,2.03,0.082,0.46,0.189,128.033
5.8,2.0,2.0,0.0,2.285,0.817,1.868,0.6,-0.08,1.929,0.356,0.407,0.315,130.187
