Timestamp,Reference X,Reference Y,Reference Theta,Current X,Current Y,Current Theta,Linear Velocity,Angular Velocity,Current Motor1,Current Motor2,Voltage Motor1,Voltage Motor2,Energy Usage
0.0,2.0,0.0,0.0,0.006,-0.023,-1.559,0.004,-0.126,0.87,0.122,0.158,-0.093,0.356
0.1,2.0,0.0,0.0,0.006,-0.027,-1.562,0.6,1.074,0.612,0.195,0.119,-0.107,0.581
0.2,2.0,0.0,0.0,0.007,-0.024,-1.57,0.6,1.2,0.992,3.903,0.21,0.453,5.324
0.3,2.0,0.0,0.0,0.017,-0.024,-1.566,0.6,1.2,0.894,2.535,0.158,0.561,9.074
0.4,2.0,0.0,0.0,0.029,-0.054,-1.505,0.6,1.2,0.53,1.877,0.079,0.558,11.688
0.5,2.0,0.0,0.0,0.036,-0.098,-1.411,0.6,1.2,0.657,2.541,0.081,0.573,15.308
0.6,2.0,0.0,0.0,0.038,-0.139,-1.305,0.6,1.2,0.707,1.511,0.078,0.528,17.357
0.7,2.0,0.0,0.0,0.045,-0.202,-1.2,0.6,1.2,0.516,1.533,0.033,0.527,19.338
0.8,2.0,0.0,0.0,0.064,-0.267,-1.092,0.6,1.2,0.714,2.242,0.04,0.542,22.321
0.9,2.0,0.0,0.0,0.081,-0.31,-0.983,0.6,1.2,0.772,1.872,0.028,0.548,24.835
1.0,2.0,0.0,0.0,0.116,-0.366,-0.874,0.6,1.2,0.747,2.698,0.065,0.562,28.59
1.1,2.0,0.0,0.0,0.154,-0.419,-0.766,0.6,1.2,0.569,3.276,0.058,0.575,33.192
1.2,2.0,0.0,0.0,0.22,-0.473,-0.548,0.6,1.2,0.92,3.002,0.07,0.588,37.579
1.3,2.0,0.0,0.0,0.277,-0.514,-0.438,0.6,1.2,0.793,1.968,0.073,0.567,40.396
1.4,2.0,0.0,0.0,0.328,-0.541,-0.328,0.6,1.2,0.653,2.251,0.061,0.556,43.495
1.5,2.0,0.0,0.0,0.384,-0.564,-0.221,0.6,1.2,0.684,2.7,0.058,0.558,47.204
1.6,2.0,0.0,0.0,0.438,-0.575,-0.115,0.6,1.2,0.841,1.911,0.066,0.552,49.871
1.7,2.0,0.0,0.0,0.47,-0.575,-0.008,0.6,1.2,0.489,2.469,0.064,0.556,53.242
1.8,2.0,0.0,0.0,0.531,-0.577,0.098,0.6,1.2,0.851,2.161,0.054,0.558,56.245
1.9,2.0,0.0,0.0,0.591,-0.569,0.204,0.6,0.068,0.405,2.836,0.085,0.568,60.192
2.0,2.0,0.0,0.0,0.647,-0.552,0.311,0.6,0.086,0.819,0.296,0.332,0.328,61.078
2.1,2.0,0.0,0.0,0.726,-0.545,0.452,0.6,-0.227,0.575,0.783,0.344,0.365,62.24
2.2,2.0,0.0,0.0,0.784,-0.525,0.446,0.6,-0.307,1.178,0.26,0.401,0.292,63.557
2.3,2.0,0.0,0.0,0.83,-0.504,0.431,0.6,-0.124,1.742,0.266,0.41,0.28,65.451
2.4,2.0,0.0,0.0,0.875,-0.485,0.413,0.6,-0.009,1.151,0.161,0.383,0.276,66.616
2.5,2.0,0.0,0.0,0.929,-0.459,0.403,0.6,0.016,1.239,0.272,0.38,0.291,67.935
2.6,2.0,0.0,0.0,0.982,-0.431,0.403,0.6,-0.033,0.696,0.761,0.351,0.371,69.2
2.7,2.0,0.0,0.0,1.032,-0.405,0.405,0.6,-0.053,0.633,0.316,0.35,0.348,69.995
2.8,2.0,0.0,0.0,1.108,-0.376,0.407,0.6,-0.048,1.155,0.283,0.38,0.321,71.266
2.9,2.0,0.0,0.0,1.156,-0.352,0.406,0.6,-0.046,1.499,0.295,0.38,0.327,72.865
3.0,2.0,0.0,0.0,1.201,-0.332,0.406,0.6,-0.029,1.136,0.338,0.383,0.341,74.186
